country,category,indicator,response,category_id,indicator_id
Cote d'Ivoire,Severe acute respiratory infection (SARI) surveillance,Number of SARI sentinel surveillance sites,7,5,14
Cote d'Ivoire,Severe acute respiratory infection (SARI) surveillance,Is there timely all-cause mortality data available in the country?,No response,5,15
Cote d'Ivoire,Virological surveillance,Type of virological surveillance,Sentinel,6,16
Cote d'Ivoire,Virological surveillance,Average number of virological samples processed per week (2024),99,6,32
Cote d'Ivoire,Virological surveillance,Does the country have RT-PCR capacity?,Yes,6,18
Cote d'Ivoire,Virological surveillance,Does the country have genomic sequencing capacity?,Yes,6,19
Cote d'Ivoire,Virological surveillance,Does the country test for other respiratory viruses?,Yes,6,20
Cote d'Ivoire,Virological surveillance,Does the country have a designated National Influenza Centre (NIC),Yes,6,21
Cote d'Ivoire,Virological surveillance,Does the country have a designated National Influenza reference laboratory?,Yes,6,22
Cote d'Ivoire,Virological surveillance,Does the laboratory participate in the External Quality Assurance Panel (EQAP)?,Yes,6,23
Cote d'Ivoire,Virological surveillance,RT-PCR,Yes,6,24
Cote d'Ivoire,Virological surveillance,Virus Isolation capacity,Yes,6,25
Cote d'Ivoire,Virological surveillance,Antiviral susceptibility testing capability,Yes,6,65
Cote d'Ivoire,Virological surveillance,Sequencing capacity,Yes,6,66
Cote d'Ivoire,Virological surveillance,Does the country forward samples to a WHO CC?,Yes,6,28
Cote d'Ivoire,Data reporting & use,Are epidemiological and virological sentinel surveillance datasets integrated?,Yes,8,34
Cote d'Ivoire,Data reporting & use,Does the country report to the FluID?,Yes,8,31
Cote d'Ivoire,Data reporting & use,Reporting consistency (2023-2024),1,8,61
Cote d'Ivoire,Data reporting & use,Does the country report to the FluNet?,Yes,8,33
Cote d'Ivoire,Data reporting & use,Does the country use the PISA tool to assess the severity of seasonal influenza?,No,8,35
Cote d'Ivoire,Data reporting & use,Has the country performed a burden of disease analysis?,No,8,36
Cote d'Ivoire,Data reporting & use,What year was it performed?,No,8,37
Cote d'Ivoire,Data reporting & use,Was it published? If yes provide link,No,8,39
Cote d'Ivoire,Vaccination,Does the country have a formal seasonal influenza vaccination policy?,Yes,9,40
Cote d'Ivoire,Vaccination,Has seasonal influenza vaccine been introduced in the public sector? Year introduced;,Yes,9,41
Cote d'Ivoire,Vaccination,Has seasonal influenza vaccine been introduced in the private sector?,Yes,9,42
Cote d'Ivoire,Vaccination,What are the recommended risk groups for influenza vaccine?,"Health care workers,Chronic conditions,Older adults,Pregnant women,Children under 5 years",9,43
Cote d'Ivoire,Vaccination,Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?,Both Nothern and Southern,9,44
Cote d'Ivoire,Pandemic preparedness and response,Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?,In progress,10,45
Cote d'Ivoire,Pandemic preparedness and response,Year plan Last updated,Draft (2024),10,46
Cote d'Ivoire,Pandemic preparedness and response,Does the country have another pandemic preparedness plan available?,Yes,10,47
Cote d'Ivoire,Pandemic preparedness and response,Influenza specific,Yes 2021,10,48
Cote d'Ivoire,Pandemic preparedness and response,COVID-19 specific,Yes 2023,10,49
Cote d'Ivoire,Pandemic preparedness and response,All Hazards,No response,10,50
Cote d'Ivoire,Pandemic preparedness and response,Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?,No,10,51
Cote d'Ivoire,Pandemic preparedness and response,Year simulation conducted,No,10,52
Cote d'Ivoire,Pandemic preparedness and response,Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine,In progress,10,53
Cote d'Ivoire,Integration of Influenza surveillance and SARS-CoV-2,Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?,Yes,11,54
Cote d'Ivoire,Integration of Influenza surveillance and SARS-CoV-2,Does the country report SARS-CoV-2 results to the Flu Net?,Yes,11,26
Cote d'Ivoire,Zoonotic Influenza surveillance,Does the country perform surveillance activities at the human-animal interface?,Yes,12,56
Cote d'Ivoire,Zoonotic Influenza surveillance,Has the country performed joint risk assessment?,Yes,12,57
Cote d'Ivoire,Zoonotic Influenza surveillance,"If yes, when",2021,12,58
Cote d'Ivoire,Zoonotic Influenza surveillance,"Has the country held an IHR (International Health
Regulations) / PVS (Performance of Veterinary Services) national bridging workshop for influenza?",Yes,12,17
Democratic Republic of the Cong,Population and Economy,Population,105789731,1,1
Democratic Republic of the Cong,Population and Economy,Total Health Expenditure,3.79,1,2
Democratic Republic of the Cong,Population and Economy,Life expectancy,60,1,3
Democratic Republic of the Cong,Mortality per 100 000 population,All cause/all ages,1308.6,2,4
Democratic Republic of the Cong,Mortality per 1000 live births,All cause/under 5 years,66.9,3,5
Democratic Republic of the Cong,Influenza like Illness (ILI) Surveillance,Type of ILI surveillance,Sentinel,4,6
Democratic Republic of the Cong,Influenza like Illness (ILI) Surveillance,Surveillance case definition used for ILI case ascertainment.,IDSR 3rd Edition,4,7
Democratic Republic of the Cong,Influenza like Illness (ILI) Surveillance,Is laboratory confirmation sought for ILI sentinel surveillance,Yes,4,8
Democratic Republic of the Cong,Influenza like Illness (ILI) Surveillance,Numbers of ILI sentinel surveillance sites,4,4,9
Democratic Republic of the Cong,Severe acute respiratory infection (SARI) surveillance,Type of SARI surveillance,Sentinel,5,10
Democratic Republic of the Cong,Severe acute respiratory infection (SARI) surveillance,Sentinel sites involved in SARI surveillance.,Hospital,5,11
Democratic Republic of the Cong,Severe acute respiratory infection (SARI) surveillance,Surveillance case definition used for SARI case ascertainment.,IDSR 3rd Edition,5,12
Democratic Republic of the Cong,Severe acute respiratory infection (SARI) surveillance,Is laboratory confirmation sought for SARI sentinel surveillance,Yes,5,13
Democratic Republic of the Cong,Severe acute respiratory infection (SARI) surveillance,Number of SARI sentinel surveillance sites,4,5,14
Democratic Republic of the Cong,Severe acute respiratory infection (SARI) surveillance,Is there timely all-cause mortality data available in the country?,Yes,5,15
Democratic Republic of the Cong,Virological surveillance,Does the National Influenza reference laboratory have:,Yes,6,64
Democratic Republic of the Cong,Virological surveillance,Type of virological surveillance,Sentinel,6,16
Democratic Republic of the Cong,Virological surveillance,Average number of virological samples processed per week (2024),35,6,32
Democratic Republic of the Cong,Virological surveillance,Does the country have RT-PCR capacity?,Yes,6,18
Democratic Republic of the Cong,Virological surveillance,Does the country have genomic sequencing capacity?,Yes,6,19
Democratic Republic of the Cong,Virological surveillance,Does the country test for other respiratory viruses?,Yes,6,20
Democratic Republic of the Cong,Virological surveillance,Does the country have a designated National Influenza Centre (NIC),No,6,21
Democratic Republic of the Cong,Virological surveillance,Does the country have a designated National Influenza reference laboratory?,Yes,6,22
Democratic Republic of the Cong,Virological surveillance,Does the laboratory participate in the External Quality Assurance Panel (EQAP)?,Yes,6,23
Democratic Republic of the Cong,Virological surveillance,Virus Isolation capacity,Yes,6,25
Democratic Republic of the Cong,Virological surveillance,Antiviral susceptibility testing capability,No,6,65
Democratic Republic of the Cong,Virological surveillance,Sequencing capacity,Yes,6,66
Democratic Republic of the Cong,Virological surveillance,Does the country forward samples to a WHO CC?,Yes,6,28
Democratic Republic of the Cong,Data reporting & use,Are epidemiological and virological sentinel surveillance datasets integrated?,No,8,34
Democratic Republic of the Cong,Data reporting & use,Does the country report to the FluID?,No,8,31
Democratic Republic of the Cong,Data reporting & use,Reporting consistency (2023-2024),1,8,61
Democratic Republic of the Cong,Data reporting & use,Does the country report to the FluNet?,Yes,8,33
Democratic Republic of the Cong,Data reporting & use,Does the country use the PISA tool to assess the severity of seasonal influenza?,No,8,35
Democratic Republic of the Cong,Data reporting & use,Has the country performed a burden of disease analysis?,Yes,8,36
Democratic Republic of the Cong,Data reporting & use,What year was it performed?,2018,8,37
Democratic Republic of the Cong,Data reporting & use,Was it published? If yes provide link,https://pubmed.ncbi.nlm.nih.gov/30120818/,8,39
Democratic Republic of the Cong,Vaccination,Does the country have a formal seasonal influenza vaccination policy?,No,9,40
Democratic Republic of the Cong,Vaccination,Has seasonal influenza vaccine been introduced in the public sector? Year introduced;,No response,9,41
Democratic Republic of the Cong,Vaccination,Has seasonal influenza vaccine been introduced in the private sector?,No response,9,42
Democratic Republic of the Cong,Vaccination,What are the recommended risk groups for influenza vaccine?,No response,9,43
Democratic Republic of the Cong,Vaccination,Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?,No response,9,44
Democratic Republic of the Cong,Pandemic preparedness and response,Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?,No,10,45
Democratic Republic of the Cong,Pandemic preparedness and response,Year plan Last updated,No response,10,46
Democratic Republic of the Cong,Pandemic preparedness and response,Does the country have another pandemic preparedness plan available?,No response,10,47
Democratic Republic of the Cong,Pandemic preparedness and response,Influenza specific,No response,10,48
Democratic Republic of the Cong,Pandemic preparedness and response,COVID-19 specific,No response,10,49
Democratic Republic of the Cong,Pandemic preparedness and response,All Hazards,No response,10,50
Democratic Republic of the Cong,Pandemic preparedness and response,Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?,No,10,51
Democratic Republic of the Cong,Pandemic preparedness and response,Year simulation conducted,N/A,10,52
Democratic Republic of the Cong,Pandemic preparedness and response,Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine,No,10,53
Democratic Republic of the Cong,Integration of Influenza surveillance and SARS-CoV-2,Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?,Yes,11,54
Democratic Republic of the Cong,Integration of Influenza surveillance and SARS-CoV-2,Does the country report SARS-CoV-2 results to the Flu Net?,Yes,11,26
Democratic Republic of the Cong,Zoonotic Influenza surveillance,Does the country perform surveillance activities at the human-animal interface?,Yes,12,56
Democratic Republic of the Cong,Zoonotic Influenza surveillance,Has the country performed joint risk assessment?,Yes,12,57
Democratic Republic of the Cong,Zoonotic Influenza surveillance,"If yes, when",2024,12,58
Democratic Republic of the Cong,Zoonotic Influenza surveillance,"Has the country held an IHR (International Health
Regulations) / PVS (Performance of Veterinary Services) national bridging workshop for influenza?",Yes,12,17
Equatorial Guinea,Population and Economy,Population,1847549,1,1
Equatorial Guinea,Population and Economy,Total Health Expenditure,3.4,1,2
Equatorial Guinea,Population and Economy,Life expectancy,61,1,3
Equatorial Guinea,Mortality per 100 000 population,All cause/all ages,1259.4,2,4
Equatorial Guinea,Mortality per 1000 live births,All cause/under 5 years,73.4,3,5
Equatorial Guinea,Influenza like Illness (ILI) Surveillance,Type of ILI surveillance,No,4,6
Equatorial Guinea,Influenza like Illness (ILI) Surveillance,Surveillance case definition used for ILI case ascertainment.,N/A,4,7
Equatorial Guinea,Influenza like Illness (ILI) Surveillance,Is laboratory confirmation sought for ILI sentinel surveillance,N/A,4,8
Equatorial Guinea,Influenza like Illness (ILI) Surveillance,Numbers of ILI sentinel surveillance sites,N/A,4,9
Equatorial Guinea,Severe acute respiratory infection (SARI) surveillance,Type of SARI surveillance,No,5,10
Equatorial Guinea,Severe acute respiratory infection (SARI) surveillance,Sentinel sites involved in SARI surveillance.,N/A,5,11
Equatorial Guinea,Severe acute respiratory infection (SARI) surveillance,Surveillance case definition used for SARI case ascertainment.,N/A,5,12
Equatorial Guinea,Severe acute respiratory infection (SARI) surveillance,Is laboratory confirmation sought for SARI sentinel surveillance,N/A,5,13
Equatorial Guinea,Severe acute respiratory infection (SARI) surveillance,Number of SARI sentinel surveillance sites,N/A,5,14
Equatorial Guinea,Severe acute respiratory infection (SARI) surveillance,Is there timely all-cause mortality data available in the country?,Yes,5,15
Equatorial Guinea,Virological surveillance,Does the National Influenza reference laboratory have:,No,6,64
Equatorial Guinea,Virological surveillance,Type of virological surveillance,No,6,16
Equatorial Guinea,Virological surveillance,Does the country have RT-PCR capacity?,Yes,6,18
Equatorial Guinea,Virological surveillance,Does the country have genomic sequencing capacity?,Yes,6,19
Equatorial Guinea,Virological surveillance,Does the country test for other respiratory viruses?,No,6,20
Equatorial Guinea,Virological surveillance,Does the country have a designated National Influenza Centre (NIC),No,6,21
Equatorial Guinea,Virological surveillance,Does the country have a designated National Influenza reference laboratory?,No,6,22
Equatorial Guinea,Virological surveillance,Does the laboratory participate in the External Quality Assurance Panel (EQAP)?,Yes,6,23
Equatorial Guinea,Virological surveillance,RT-PCR,No,6,24
Equatorial Guinea,Virological surveillance,Virus Isolation capacity,No,6,25
Equatorial Guinea,Virological surveillance,Antiviral susceptibility testing capability,No,6,65
Equatorial Guinea,Virological surveillance,Sequencing capacity,No,6,66
Equatorial Guinea,Virological surveillance,Does the country forward samples to a WHO CC?,No,6,28
Equatorial Guinea,Data reporting & use,Are epidemiological and virological sentinel surveillance datasets integrated?,No,8,34
Equatorial Guinea,Data reporting & use,Does the country report to the FluID?,No,8,31
Equatorial Guinea,Data reporting & use,Does the country report to the FluNet?,No,8,33
Equatorial Guinea,Data reporting & use,Has the country performed a burden of disease analysis?,No,8,36
Equatorial Guinea,Data reporting & use,What year was it performed?,No,8,37
Equatorial Guinea,Data reporting & use,Was it published? If yes provide link,No,8,39
Equatorial Guinea,Vaccination,Does the country have a formal seasonal influenza vaccination policy?,No,9,40
Equatorial Guinea,Vaccination,Has seasonal influenza vaccine been introduced in the public sector? Year introduced;,No response,9,41
Equatorial Guinea,Vaccination,Has seasonal influenza vaccine been introduced in the private sector?,No response,9,42
Equatorial Guinea,Vaccination,What are the recommended risk groups for influenza vaccine?,No response,9,43
Equatorial Guinea,Vaccination,Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?,No response,9,44
Equatorial Guinea,Pandemic preparedness and response,Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?,No,10,45
Equatorial Guinea,Pandemic preparedness and response,Year plan Last updated,N/A,10,46
Equatorial Guinea,Pandemic preparedness and response,Does the country have another pandemic preparedness plan available?,Yes,10,47
Equatorial Guinea,Pandemic preparedness and response,Influenza specific,No,10,48
Equatorial Guinea,Pandemic preparedness and response,COVID-19 specific,Yes 2022,10,49
Equatorial Guinea,Pandemic preparedness and response,All Hazards,No,10,50
Equatorial Guinea,Pandemic preparedness and response,Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?,No,10,51
Equatorial Guinea,Pandemic preparedness and response,Year simulation conducted,No,10,52
Equatorial Guinea,Pandemic preparedness and response,Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine,No,10,53
Equatorial Guinea,Integration of Influenza surveillance and SARS-CoV-2,Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?,No,11,54
Equatorial Guinea,Integration of Influenza surveillance and SARS-CoV-2,Does the country report SARS-CoV-2 results to the Flu Net?,No,11,26
Equatorial Guinea,Zoonotic Influenza surveillance,Does the country perform surveillance activities at the human-animal interface?,No,12,56
Equatorial Guinea,Zoonotic Influenza surveillance,Has the country performed joint risk assessment?,No,12,57
Equatorial Guinea,Zoonotic Influenza surveillance,"If yes, when",No,12,58
Equatorial Guinea,Zoonotic Influenza surveillance,"Has the country held an IHR (International Health
Regulations) / PVS (Performance of Veterinary Services) national bridging workshop for influenza?",No,12,17
Eritrea,Population and Economy,Population,3470390,1,1
Eritrea,Population and Economy,Total Health Expenditure,4.15,1,2
Eritrea,Population and Economy,Life expectancy,67,1,3
Eritrea,Mortality per 100 000 population,All cause/all ages,1341.9,2,4
Eritrea,Mortality per 1000 live births,All cause/under 5 years,36.6,3,5
Eritrea,Influenza like Illness (ILI) Surveillance,Type of ILI surveillance,IDSR,4,6
Eritrea,Influenza like Illness (ILI) Surveillance,Surveillance case definition used for ILI case ascertainment.,IDSR 3rd Edition,4,7
Eritrea,Influenza like Illness (ILI) Surveillance,Is laboratory confirmation sought for ILI sentinel surveillance,No,4,8
Eritrea,Influenza like Illness (ILI) Surveillance,Numbers of ILI sentinel surveillance sites,N/A,4,9
Eritrea,Severe acute respiratory infection (SARI) surveillance,Type of SARI surveillance,No,5,10
Eritrea,Severe acute respiratory infection (SARI) surveillance,Sentinel sites involved in SARI surveillance.,No,5,11
Eritrea,Severe acute respiratory infection (SARI) surveillance,Surveillance case definition used for SARI case ascertainment.,No,5,12
Eritrea,Severe acute respiratory infection (SARI) surveillance,Is laboratory confirmation sought for SARI sentinel surveillance,No,5,13
Eritrea,Severe acute respiratory infection (SARI) surveillance,Number of SARI sentinel surveillance sites,No,5,14
Eritrea,Virological surveillance,Does the National Influenza reference laboratory have:,No,6,64
Eritrea,Virological surveillance,Type of virological surveillance,No,6,16
Eritrea,Virological surveillance,Average number of virological samples processed per week (2024),No,6,32
Eritrea,Virological surveillance,Does the country have RT-PCR capacity?,Yes,6,18
Eritrea,Virological surveillance,Does the country have genomic sequencing capacity?,No,6,19
Eritrea,Virological surveillance,Does the country test for other respiratory viruses?,No,6,20
Eritrea,Virological surveillance,Does the country have a designated National Influenza Centre (NIC),No,6,21
Eritrea,Virological surveillance,Does the country have a designated National Influenza reference laboratory?,No,6,22
Eritrea,Virological surveillance,Does the laboratory participate in the External Quality Assurance Panel (EQAP)?,No response,6,23
Eritrea,Virological surveillance,RT-PCR,No,6,24
Eritrea,Virological surveillance,Virus Isolation capacity,No,6,25
Eritrea,Virological surveillance,Antiviral susceptibility testing capability,No,6,65
Eritrea,Virological surveillance,Sequencing capacity,No,6,66
Eritrea,Virological surveillance,Does the country forward samples to a WHO CC?,No,6,28
Eritrea,Data reporting & use,Are epidemiological and virological sentinel surveillance datasets integrated?,No,8,34
Eritrea,Data reporting & use,Does the country report to the FluID?,No,8,31
Eritrea,Data reporting & use,Does the country report to the FluNet?,No,8,33
Eritrea,Data reporting & use,Does the country use the PISA tool to assess the severity of seasonal influenza?,No,8,35
Eritrea,Data reporting & use,Has the country performed a burden of disease analysis?,No,8,36
Eritrea,Data reporting & use,What year was it performed?,No,8,37
Eritrea,Data reporting & use,What was the estimated burden?,No,8,38
Eritrea,Data reporting & use,Was it published? If yes provide link,No,8,39
Eritrea,Vaccination,Does the country have a formal seasonal influenza vaccination policy?,No,9,40
Eritrea,Vaccination,Has seasonal influenza vaccine been introduced in the public sector? Year introduced;,No response,9,41
Eritrea,Vaccination,Has seasonal influenza vaccine been introduced in the private sector?,No response,9,42
Eritrea,Vaccination,What are the recommended risk groups for influenza vaccine?,No response,9,43
Eritrea,Vaccination,Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?,No response,9,44
Eritrea,Pandemic preparedness and response,Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?,No,10,45
Eritrea,Pandemic preparedness and response,Year plan Last updated,N/A,10,46
Eritrea,Pandemic preparedness and response,Does the country have another pandemic preparedness plan available?,No response,10,47
Eritrea,Pandemic preparedness and response,Influenza specific,No response,10,48
Eritrea,Pandemic preparedness and response,COVID-19 specific,No response,10,49
Eritrea,Pandemic preparedness and response,All Hazards,No response,10,50
Eritrea,Pandemic preparedness and response,Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?,No,10,51
Eritrea,Pandemic preparedness and response,Year simulation conducted,No,10,52
Eritrea,Pandemic preparedness and response,Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine,No,10,53
Eritrea,Integration of Influenza surveillance and SARS-CoV-2,Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?,No,11,54
Eritrea,Integration of Influenza surveillance and SARS-CoV-2,Does the country report SARS-CoV-2 results to the Flu Net?,No,11,26
Eritrea,Zoonotic Influenza surveillance,Does the country perform surveillance activities at the human-animal interface?,No,12,56
Eritrea,Zoonotic Influenza surveillance,Has the country performed joint risk assessment?,No,12,57
Eritrea,Zoonotic Influenza surveillance,"If yes, when",No,12,58
Eritrea,Zoonotic Influenza surveillance,"Has the country held an IHR (International Health
Regulations) / PVS (Performance of Veterinary Services) national bridging workshop for influenza?",No,12,17
Eswatini,Population and Economy,Population,1230506,1,1
Eswatini,Population and Economy,Total Health Expenditure,7.04,1,2
Eswatini,Population and Economy,Life expectancy,56,1,3
Eswatini,Mortality per 100 000 population,All cause/all ages,1981.2,2,4
Eswatini,Mortality per 1000 live births,All cause/under 5 years,50,3,5
Eswatini,Influenza like Illness (ILI) Surveillance,Type of ILI surveillance,No,4,6
Eswatini,Influenza like Illness (ILI) Surveillance,Surveillance case definition used for ILI case ascertainment.,No,4,7
Eswatini,Influenza like Illness (ILI) Surveillance,Is laboratory confirmation sought for ILI sentinel surveillance,No,4,8
Eswatini,Influenza like Illness (ILI) Surveillance,Numbers of ILI sentinel surveillance sites,No,4,9
Eswatini,Severe acute respiratory infection (SARI) surveillance,Type of SARI surveillance,No,5,10
Eswatini,Severe acute respiratory infection (SARI) surveillance,Sentinel sites involved in SARI surveillance.,None,5,11
Eswatini,Severe acute respiratory infection (SARI) surveillance,Surveillance case definition used for SARI case ascertainment.,No,5,12
Eswatini,Severe acute respiratory infection (SARI) surveillance,Is laboratory confirmation sought for SARI sentinel surveillance,No,5,13
Eswatini,Severe acute respiratory infection (SARI) surveillance,Number of SARI sentinel surveillance sites,No,5,14
Eswatini,Severe acute respiratory infection (SARI) surveillance,Is there timely all-cause mortality data available in the country?,Yes,5,15
Eswatini,Virological surveillance,Does the National Influenza reference laboratory have:,No,6,64
Eswatini,Virological surveillance,Type of virological surveillance,No,6,16
Eswatini,Virological surveillance,Average number of virological samples processed per week (2024),N/A,6,32
Eswatini,Virological surveillance,Does the country have RT-PCR capacity?,Yes,6,18
Eswatini,Virological surveillance,Does the country test for other respiratory viruses?,Yes,6,20
Eswatini,Virological surveillance,Does the country have a designated National Influenza Centre (NIC),No,6,21
Eswatini,Virological surveillance,Does the country have a designated National Influenza reference laboratory?,No,6,22
Eswatini,Virological surveillance,Does the laboratory participate in the External Quality Assurance Panel (EQAP)?,No response,6,23
Eswatini,Virological surveillance,RT-PCR,N/A,6,24
Eswatini,Virological surveillance,Virus Isolation capacity,No,6,25
Eswatini,Virological surveillance,Antiviral susceptibility testing capability,No,6,65
Eswatini,Virological surveillance,Sequencing capacity,No,6,66
Eswatini,Virological surveillance,Does the country forward samples to a WHO CC?,No,6,28
Eswatini,Data reporting & use,Are epidemiological and virological sentinel surveillance datasets integrated?,No,8,34
Eswatini,Data reporting & use,Does the country report to the FluID?,No,8,31
Eswatini,Data reporting & use,Does the country report to the FluNet?,No,8,33
Eswatini,Data reporting & use,Does the country use the PISA tool to assess the severity of seasonal influenza?,No,8,35
Eswatini,Data reporting & use,Has the country performed a burden of disease analysis?,No,8,36
Eswatini,Data reporting & use,What year was it performed?,No,8,37
Eswatini,Data reporting & use,What was the estimated burden?,No,8,38
Eswatini,Data reporting & use,Was it published? If yes provide link,None,8,39
Eswatini,Vaccination,Does the country have a formal seasonal influenza vaccination policy?,No,9,40
Eswatini,Vaccination,Has seasonal influenza vaccine been introduced in the public sector? Year introduced;,No response,9,41
Eswatini,Vaccination,Has seasonal influenza vaccine been introduced in the private sector?,No response,9,42
Eswatini,Vaccination,What are the recommended risk groups for influenza vaccine?,No response,9,43
Eswatini,Vaccination,Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?,No response,9,44
Eswatini,Pandemic preparedness and response,Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?,No,10,45
Eswatini,Pandemic preparedness and response,Year plan Last updated,No,10,46
Eswatini,Pandemic preparedness and response,Does the country have another pandemic preparedness plan available?,No,10,47
Eswatini,Pandemic preparedness and response,Influenza specific,No,10,48
Eswatini,Pandemic preparedness and response,COVID-19 specific,No,10,49
Eswatini,Pandemic preparedness and response,All Hazards,No,10,50
Eswatini,Pandemic preparedness and response,Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?,No,10,51
Eswatini,Pandemic preparedness and response,Year simulation conducted,N/a,10,52
Eswatini,Pandemic preparedness and response,Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine,No,10,53
Eswatini,Integration of Influenza surveillance and SARS-CoV-2,Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?,No,11,54
Eswatini,Integration of Influenza surveillance and SARS-CoV-2,Does the country report SARS-CoV-2 results to the Flu Net?,No,11,26
Eswatini,Zoonotic Influenza surveillance,Does the country perform surveillance activities at the human-animal interface?,Yes,12,56
Eswatini,Zoonotic Influenza surveillance,Has the country performed joint risk assessment?,No,12,57
Eswatini,Zoonotic Influenza surveillance,"If yes, when",N/A,12,58
Eswatini,Zoonotic Influenza surveillance,"Has the country held an IHR (International Health
Regulations) / PVS (Performance of Veterinary Services) national bridging workshop for influenza?",No,12,17
Ethiopia,Population and Economy,Population,128691692,1,1
Ethiopia,Population and Economy,Total Health Expenditure,3.21,1,2
Ethiopia,Population and Economy,Life expectancy,66,1,3
Ethiopia,Mortality per 100 000 population,All cause/all ages,941.2,2,4
Ethiopia,Mortality per 1000 live births,All cause/under 5 years,46.2,3,5
Ethiopia,Influenza like Illness (ILI) Surveillance,Type of ILI surveillance,Sentinel,4,6
Ethiopia,Influenza like Illness (ILI) Surveillance,Surveillance case definition used for ILI case ascertainment.,WHO 2014,4,7
Ethiopia,Influenza like Illness (ILI) Surveillance,Is laboratory confirmation sought for ILI sentinel surveillance,Yes,4,8
Ethiopia,Influenza like Illness (ILI) Surveillance,Numbers of ILI sentinel surveillance sites,4,4,9
Ethiopia,Severe acute respiratory infection (SARI) surveillance,Type of SARI surveillance,Sentinel,5,10
Ethiopia,Severe acute respiratory infection (SARI) surveillance,Sentinel sites involved in SARI surveillance.,Hospital,5,11
Ethiopia,Severe acute respiratory infection (SARI) surveillance,Surveillance case definition used for SARI case ascertainment.,WHO 2014,5,12
Ethiopia,Severe acute respiratory infection (SARI) surveillance,Is laboratory confirmation sought for SARI sentinel surveillance,Yes,5,13
Ethiopia,Severe acute respiratory infection (SARI) surveillance,Number of SARI sentinel surveillance sites,17,5,14
Ethiopia,Severe acute respiratory infection (SARI) surveillance,Is there timely all-cause mortality data available in the country?,Yes,5,15
Ethiopia,Virological surveillance,Type of virological surveillance,Sentinel,6,16
Ethiopia,Virological surveillance,Average number of virological samples processed per week (2024),140,6,32
Ethiopia,Virological surveillance,Does the country have RT-PCR capacity?,Yes,6,18
Ethiopia,Virological surveillance,Does the country have genomic sequencing capacity?,Yes,6,19
Ethiopia,Virological surveillance,Does the country have a designated National Influenza Centre (NIC),Yes,6,21
Ethiopia,Virological surveillance,Does the country have a designated National Influenza reference laboratory?,Yes,6,22
Ethiopia,Virological surveillance,RT-PCR,Yes,6,24
Ethiopia,Virological surveillance,Virus Isolation capacity,No,6,25
Ethiopia,Virological surveillance,Antiviral susceptibility testing capability,No,6,65
Ethiopia,Virological surveillance,Sequencing capacity,Yes,6,66
Ethiopia,Virological surveillance,Does the country forward samples to a WHO CC?,Yes,6,28
Ethiopia,Data reporting & use,Are epidemiological and virological sentinel surveillance datasets integrated?,Yes,8,34
Ethiopia,Data reporting & use,Does the country report to the FluID?,Yes,8,31
Ethiopia,Data reporting & use,Reporting consistency (2023-2024),1,8,61
Ethiopia,Data reporting & use,Does the country report to the FluNet?,Yes,8,33
Ethiopia,Data reporting & use,Does the country use the PISA tool to assess the severity of seasonal influenza?,No,8,35
Ethiopia,Data reporting & use,Has the country performed a burden of disease analysis?,In progress,8,36
Ethiopia,Data reporting & use,What year was it performed?,In progress,8,37
Ethiopia,Data reporting & use,What was the estimated burden?,N/A,8,38
Ethiopia,Data reporting & use,Was it published? If yes provide link,N/a,8,39
Ethiopia,Vaccination,Does the country have a formal seasonal influenza vaccination policy?,No,9,40
Ethiopia,Vaccination,Has seasonal influenza vaccine been introduced in the public sector? Year introduced;,No,9,41
Ethiopia,Vaccination,Has seasonal influenza vaccine been introduced in the private sector?,No,9,42
Ethiopia,Vaccination,What are the recommended risk groups for influenza vaccine?,No,9,43
Ethiopia,Vaccination,Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?,No,9,44
Ethiopia,Pandemic preparedness and response,Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?,No,10,45
Ethiopia,Pandemic preparedness and response,Year plan Last updated,N/A,10,46
