"country","category","indicator","response"
"Chad","Severe acute respiratory infection (SARI) surveillance","Surveillance case definition used for SARI case ascertainment.","IDSR 3rd Edition"
"Chad","Severe acute respiratory infection (SARI) surveillance","Type of SARI surveillance","Sentinel"
"Chad","Virological surveillance","Antiviral susceptibility testing capability","No"
"Chad","Virological surveillance","Average number of virological samples processed per week (2024)","0.1"
"Chad","Virological surveillance","Does the country forward samples to a WHO CC?","No"
"Chad","Virological surveillance","Does the country have a designated National Influenza reference laboratory?","Yes"
"Chad","Virological surveillance","Does the country have a WHO recognized National Influenza Centre (NIC)?","No"
"Chad","Virological surveillance","Does the country have genomic sequencing capacity?","No"
"Chad","Virological surveillance","Does the country have RT-PCR capacity?","Yes"
"Chad","Virological surveillance","Does the country test for other respiratory viruses?","No"
"Chad","Virological surveillance","Does the laboratory participate in the External Quality Assurance Panel (EQAP)?","Yes"
"Chad","Virological surveillance","RT-PCR","Yes"
"Chad","Virological surveillance","Sequencing capacity","No"
"Chad","Virological surveillance","Type of virological surveillance","Sentinel"
"Chad","Virological surveillance","Virus Isolation capacity","No"
"Chad","Data reporting & use","Are epidemiological and virological sentinel surveillance datasets integrated?","No"
"Chad","Data reporting & use","Does the country report to the FluID?","No"
"Chad","Data reporting & use","Does the country report to the FluNet?","Yes"
"Chad","Data reporting & use","Does the country use the PISA tool to assess the severity of seasonal influenza?","No"
"Chad","Data reporting & use","Has the country performed a burden of disease analysis?","No"
"Chad","Data reporting & use","Reporting consistency (2023-2024)","1"
"Chad","Data reporting & use","Was it published? If yes provide link","No"
"Chad","Data reporting & use","What year was it performed?","No"
"Chad","Vaccination","Does the country have a formal seasonal influenza vaccination policy?","No"
"Chad","Vaccination","Has seasonal influenza vaccine been introduced in the private sector?","No response"
"Chad","Vaccination","Has seasonal influenza vaccine been introduced in the public sector? Year introduced;","No response"
"Chad","Vaccination","What are the recommended risk groups for influenza vaccine?","No response"
"Chad","Vaccination","Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?","No"
"Chad","Pandemic preparedness and response","All Hazardzs","No response"
"Chad","Pandemic preparedness and response","COVID-19 specific","No response"
"Chad","Pandemic preparedness and response","Does the country have another pandemic preparedness plan available?","No response"
"Chad","Pandemic preparedness and response","Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine","No"
"Chad","Pandemic preparedness and response","Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?","No"
"Chad","Pandemic preparedness and response","Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?","No"
"Chad","Pandemic preparedness and response","Influenza specific","No response"
"Chad","Pandemic preparedness and response","Year plan Last updated","No"
"Chad","Pandemic preparedness and response","Year simulation conducted","No"
"Chad","Integration of Influenza surveillance and SARS-CoV-2","Does the country report SARS-CoV-2 results to the Flu Net?","Yes"
"Chad","Integration of Influenza surveillance and SARS-CoV-2","Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?","Yes"
"Chad","Zoonotic Influenza surveillance","Does the country perform surveillance activities at the human-animal interface?","Yes"
"Chad","Zoonotic Influenza surveillance","Has the country held an IHR (International Health Regulations) Review?","Yes"
"Chad","Zoonotic Influenza surveillance","Has the country performed joint risk assessment?","No"
"Chad","Zoonotic Influenza surveillance","If yes, when","2018"
"Comoros","Population and Economy","Life expectancy","64"
"Comoros","Population and Economy","Population","850387"
"Comoros","Population and Economy","Total Health Expenditure","6.34"
"Comoros","Mortality per 100 000 population","All cause/all ages","986.4"
"Comoros","Mortality per 1000 live births","All cause/under 5 years","48.2"
"Comoros","Influenza like Illness (ILI) Surveillance","Is laboratory confirmation sought for ILI sentinel surveillance","N/A"
"Comoros","Influenza like Illness (ILI) Surveillance","Surveillance case definition used for ILI case ascertainment.","N/A"
"Comoros","Influenza like Illness (ILI) Surveillance","Type of ILI surveillance","No"
"Comoros","Severe acute respiratory infection (SARI) surveillance","Is laboratory confirmation sought for SARI sentinel surveillance","N/A"
"Comoros","Severe acute respiratory infection (SARI) surveillance","Is there timely all-cause mortality data available in the country?","No response"
"Comoros","Severe acute respiratory infection (SARI) surveillance","Sentinel sites involved in SARI surveillance.","N/A"
"Comoros","Severe acute respiratory infection (SARI) surveillance","Surveillance case definition used for SARI case ascertainment.","N/A"
"Comoros","Severe acute respiratory infection (SARI) surveillance","Type of SARI surveillance","No"
"Comoros","Virological surveillance","Antiviral susceptibility testing capability","No"
"Comoros","Virological surveillance","Does the country forward samples to a WHO CC?","No"
"Comoros","Virological surveillance","Does the country have a designated National Influenza reference laboratory?","No"
"Comoros","Virological surveillance","Does the country have a WHO recognized National Influenza Centre (NIC)?","No"
"Comoros","Virological surveillance","Does the country have genomic sequencing capacity?","Yes"
"Comoros","Virological surveillance","Does the country have RT-PCR capacity?","Yes"
"Comoros","Virological surveillance","Does the country test for other respiratory viruses?","Yes"
"Comoros","Virological surveillance","Does the laboratory participate in the External Quality Assurance Panel (EQAP)?","Yes"
"Comoros","Virological surveillance","Does the National Influenza reference laboratory have:","No"
"Comoros","Virological surveillance","RT-PCR","No"
"Comoros","Virological surveillance","Sequencing capacity","Yes"
"Comoros","Virological surveillance","Type of virological surveillance","No response"
"Comoros","Virological surveillance","Virus Isolation capacity","No"
"Comoros","Data reporting & use","Are epidemiological and virological sentinel surveillance datasets integrated?","No"
"Comoros","Data reporting & use","Does the country report to the FluID?","No"
"Comoros","Data reporting & use","Does the country report to the FluNet?","No"
"Comoros","Data reporting & use","Does the country use the PISA tool to assess the severity of seasonal influenza?","No"
"Comoros","Data reporting & use","Has the country performed a burden of disease analysis?","No"
"Comoros","Data reporting & use","Was it published? If yes provide link","No"
"Comoros","Data reporting & use","What year was it performed?","No"
"Comoros","Vaccination","Does the country have a formal seasonal influenza vaccination policy?","No"
"Comoros","Vaccination","Has seasonal influenza vaccine been introduced in the private sector?","No response"
"Comoros","Vaccination","Has seasonal influenza vaccine been introduced in the public sector? Year introduced;","No response"
"Comoros","Vaccination","What are the recommended risk groups for influenza vaccine?","No response"
"Comoros","Vaccination","Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?","No response"
"Comoros","Pandemic preparedness and response","All Hazardzs","No response"
"Comoros","Pandemic preparedness and response","COVID-19 specific","No response"
"Comoros","Pandemic preparedness and response","Does the country have another pandemic preparedness plan available?","No response"
"Comoros","Pandemic preparedness and response","Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine","No"
"Comoros","Pandemic preparedness and response","Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?","No response"
"Comoros","Pandemic preparedness and response","Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?","No"
"Comoros","Pandemic preparedness and response","Influenza specific","No response"
"Comoros","Pandemic preparedness and response","Integration of Influenza surveillance and SARS-CoV-2","No"
"Comoros","Pandemic preparedness and response","Year plan Last updated","No response"
"Comoros","Pandemic preparedness and response","Year simulation conducted","No"
"Comoros","Integration of Influenza surveillance and SARS-CoV-2","Does the country report SARS-CoV-2 results to the Flu Net?","No response"
"Comoros","Integration of Influenza surveillance and SARS-CoV-2","Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?","No response"
"Comoros","Zoonotic Influenza surveillance","Does the country perform surveillance activities at the human-animal interface?","No response"
"Comoros","Zoonotic Influenza surveillance","Has the country held an IHR (International Health Regulations) Review?","No"
"Comoros","Zoonotic Influenza surveillance","Has the country performed joint risk assessment?","No"
"Comoros","Zoonotic Influenza surveillance","If yes, when","N/A"
"Cote d'Ivoire","Population and Economy","Life expectancy","59"
"Cote d'Ivoire","Population and Economy","Population","31165654"
"Cote d'Ivoire","Population and Economy","Total Health Expenditure","3.13"
"Cote d'Ivoire","Mortality per 100 000 population","All cause/all ages","1143.7"
"Cote d'Ivoire","Mortality per 1000 live births","All cause/under 5 years","69.4"
"Cote d'Ivoire","Influenza like Illness (ILI) Surveillance","Is laboratory confirmation sought for ILI sentinel surveillance","Yes"
"Cote d'Ivoire","Influenza like Illness (ILI) Surveillance","Numbers of ILI sentinel surveillance sites","3"
"Cote d'Ivoire","Influenza like Illness (ILI) Surveillance","Surveillance case definition used for ILI case ascertainment.","WHO 2014"
"Cote d'Ivoire","Influenza like Illness (ILI) Surveillance","Type of ILI surveillance","Sentinel"
"Cote d'Ivoire","Severe acute respiratory infection (SARI) surveillance","Is laboratory confirmation sought for SARI sentinel surveillance","Yes"
"Cote d'Ivoire","Severe acute respiratory infection (SARI) surveillance","Is there timely all-cause mortality data available in the country?","No response"
"Cote d'Ivoire","Severe acute respiratory infection (SARI) surveillance","Number of SARI sentinel surveillance sites","7"
"Cote d'Ivoire","Severe acute respiratory infection (SARI) surveillance","Sentinel sites involved in SARI surveillance.","Hospital"
"Cote d'Ivoire","Severe acute respiratory infection (SARI) surveillance","Surveillance case definition used for SARI case ascertainment.","WHO 2014"
"Cote d'Ivoire","Severe acute respiratory infection (SARI) surveillance","Type of SARI surveillance","Sentinel"
"Cote d'Ivoire","Virological surveillance","Antiviral susceptibility testing capability","Yes"
"Cote d'Ivoire","Virological surveillance","Average number of virological samples processed per week (2024)","99"
"Cote d'Ivoire","Virological surveillance","Does the country forward samples to a WHO CC?","Yes"
"Cote d'Ivoire","Virological surveillance","Does the country have a designated National Influenza reference laboratory?","Yes"
"Cote d'Ivoire","Virological surveillance","Does the country have a WHO recognized National Influenza Centre (NIC)?","Yes"
"Cote d'Ivoire","Virological surveillance","Does the country have genomic sequencing capacity?","Yes"
"Cote d'Ivoire","Virological surveillance","Does the country have RT-PCR capacity?","Yes"
"Cote d'Ivoire","Virological surveillance","Does the country test for other respiratory viruses?","Yes"
"Cote d'Ivoire","Virological surveillance","Does the laboratory participate in the External Quality Assurance Panel (EQAP)?","Yes"
"Cote d'Ivoire","Virological surveillance","RT-PCR","Yes"
"Cote d'Ivoire","Virological surveillance","Sequencing capacity","Yes"
"Cote d'Ivoire","Virological surveillance","Type of virological surveillance","Sentinel"
"Cote d'Ivoire","Virological surveillance","Virus Isolation capacity","Yes"
"Cote d'Ivoire","Data reporting & use","Are epidemiological and virological sentinel surveillance datasets integrated?","Yes"
"Cote d'Ivoire","Data reporting & use","Does the country report to the FluID?","Yes"
"Cote d'Ivoire","Data reporting & use","Does the country report to the FluNet?","Yes"
"Cote d'Ivoire","Data reporting & use","Does the country use the PISA tool to assess the severity of seasonal influenza?","No"
"Cote d'Ivoire","Data reporting & use","Has the country performed a burden of disease analysis?","No"
"Cote d'Ivoire","Data reporting & use","Reporting consistency (2023-2024)","1"
"Cote d'Ivoire","Data reporting & use","Was it published? If yes provide link","No"
"Cote d'Ivoire","Data reporting & use","What year was it performed?","No"
"Cote d'Ivoire","Vaccination","Does the country have a formal seasonal influenza vaccination policy?","Yes"
"Cote d'Ivoire","Vaccination","Has seasonal influenza vaccine been introduced in the private sector?","Yes"
"Cote d'Ivoire","Vaccination","Has seasonal influenza vaccine been introduced in the public sector? Year introduced;","Yes"
"Cote d'Ivoire","Vaccination","What are the recommended risk groups for influenza vaccine?","Health care workers,Chronic conditions,Older adults,Pregnant women,Children under 5 years"
"Cote d'Ivoire","Vaccination","Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?","Both Nothern and Southern"
"Cote d'Ivoire","Pandemic preparedness and response","All Hazardzs","No response"
"Cote d'Ivoire","Pandemic preparedness and response","COVID-19 specific","Yes 2023"
"Cote d'Ivoire","Pandemic preparedness and response","Does the country have another pandemic preparedness plan available?","Yes"
"Cote d'Ivoire","Pandemic preparedness and response","Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine","In progress"
"Cote d'Ivoire","Pandemic preparedness and response","Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?","In progress"
"Cote d'Ivoire","Pandemic preparedness and response","Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?","No"
"Cote d'Ivoire","Pandemic preparedness and response","Influenza specific","Yes 2021"
"Cote d'Ivoire","Pandemic preparedness and response","Year plan Last updated","Draft (2024)"
"Cote d'Ivoire","Pandemic preparedness and response","Year simulation conducted","No"
"Cote d'Ivoire","Integration of Influenza surveillance and SARS-CoV-2","Does the country report SARS-CoV-2 results to the Flu Net?","Yes"
"Cote d'Ivoire","Integration of Influenza surveillance and SARS-CoV-2","Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?","Yes"
"Cote d'Ivoire","Zoonotic Influenza surveillance","Does the country perform surveillance activities at the human-animal interface?","Yes"
"Cote d'Ivoire","Zoonotic Influenza surveillance","Has the country held an IHR (International Health Regulations) Review?","Yes"
"Cote d'Ivoire","Zoonotic Influenza surveillance","Has the country performed joint risk assessment?","Yes"
"Cote d'Ivoire","Zoonotic Influenza surveillance","If yes, when","2021"
"Democratic Republic of the Cong","Population and Economy","Life expectancy","60"
"Democratic Republic of the Cong","Population and Economy","Population","105789731"
"Democratic Republic of the Cong","Population and Economy","Total Health Expenditure","3.79"
"Democratic Republic of the Cong","Mortality per 100 000 population","All cause/all ages","1308.6"
"Democratic Republic of the Cong","Mortality per 1000 live births","All cause/under 5 years","66.9"
"Democratic Republic of the Cong","Influenza like Illness (ILI) Surveillance","Is laboratory confirmation sought for ILI sentinel surveillance","Yes"
"Democratic Republic of the Cong","Influenza like Illness (ILI) Surveillance","Numbers of ILI sentinel surveillance sites","4"
"Democratic Republic of the Cong","Influenza like Illness (ILI) Surveillance","Surveillance case definition used for ILI case ascertainment.","IDSR 3rd Edition"
"Democratic Republic of the Cong","Influenza like Illness (ILI) Surveillance","Type of ILI surveillance","Sentinel"
"Democratic Republic of the Cong","Severe acute respiratory infection (SARI) surveillance","Is laboratory confirmation sought for SARI sentinel surveillance","Yes"
"Democratic Republic of the Cong","Severe acute respiratory infection (SARI) surveillance","Is there timely all-cause mortality data available in the country?","Yes"
"Democratic Republic of the Cong","Severe acute respiratory infection (SARI) surveillance","Number of SARI sentinel surveillance sites","4"
"Democratic Republic of the Cong","Severe acute respiratory infection (SARI) surveillance","Sentinel sites involved in SARI surveillance.","Hospital"
"Democratic Republic of the Cong","Severe acute respiratory infection (SARI) surveillance","Surveillance case definition used for SARI case ascertainment.","IDSR 3rd Edition"
"Democratic Republic of the Cong","Severe acute respiratory infection (SARI) surveillance","Type of SARI surveillance","Sentinel"
"Democratic Republic of the Cong","Virological surveillance","Antiviral susceptibility testing capability","No"
"Democratic Republic of the Cong","Virological surveillance","Average number of virological samples processed per week (2024)","35"
"Democratic Republic of the Cong","Virological surveillance","Does the country forward samples to a WHO CC?","Yes"
"Democratic Republic of the Cong","Virological surveillance","Does the country have a designated National Influenza reference laboratory?","Yes"
"Democratic Republic of the Cong","Virological surveillance","Does the country have a WHO recognized National Influenza Centre (NIC)?","No"
"Democratic Republic of the Cong","Virological surveillance","Does the country have genomic sequencing capacity?","Yes"
"Democratic Republic of the Cong","Virological surveillance","Does the country have RT-PCR capacity?","Yes"
"Democratic Republic of the Cong","Virological surveillance","Does the country test for other respiratory viruses?","Yes"
"Democratic Republic of the Cong","Virological surveillance","Does the laboratory participate in the External Quality Assurance Panel (EQAP)?","Yes"
"Democratic Republic of the Cong","Virological surveillance","Does the National Influenza reference laboratory have:","Yes"
"Democratic Republic of the Cong","Virological surveillance","Sequencing capacity","Yes"
"Democratic Republic of the Cong","Virological surveillance","Type of virological surveillance","Sentinel"
"Democratic Republic of the Cong","Virological surveillance","Virus Isolation capacity","Yes"
"Democratic Republic of the Cong","Data reporting & use","Are epidemiological and virological sentinel surveillance datasets integrated?","No"
"Democratic Republic of the Cong","Data reporting & use","Does the country report to the FluID?","No"
"Democratic Republic of the Cong","Data reporting & use","Does the country report to the FluNet?","Yes"
"Democratic Republic of the Cong","Data reporting & use","Does the country use the PISA tool to assess the severity of seasonal influenza?","No"
"Democratic Republic of the Cong","Data reporting & use","Has the country performed a burden of disease analysis?","Yes"
"Democratic Republic of the Cong","Data reporting & use","Reporting consistency (2023-2024)","1"
"Democratic Republic of the Cong","Data reporting & use","Was it published? If yes provide link","https://pubmed.ncbi.nlm.nih.gov/30120818/"
"Democratic Republic of the Cong","Data reporting & use","What year was it performed?","2018"
"Democratic Republic of the Cong","Vaccination","Does the country have a formal seasonal influenza vaccination policy?","No"
"Democratic Republic of the Cong","Vaccination","Has seasonal influenza vaccine been introduced in the private sector?","No response"
"Democratic Republic of the Cong","Vaccination","Has seasonal influenza vaccine been introduced in the public sector? Year introduced;","No response"
"Democratic Republic of the Cong","Vaccination","What are the recommended risk groups for influenza vaccine?","No response"
"Democratic Republic of the Cong","Vaccination","Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?","No response"
"Democratic Republic of the Cong","Pandemic preparedness and response","All Hazardzs","No response"
"Democratic Republic of the Cong","Pandemic preparedness and response","COVID-19 specific","No response"
"Democratic Republic of the Cong","Pandemic preparedness and response","Does the country have another pandemic preparedness plan available?","No response"
"Democratic Republic of the Cong","Pandemic preparedness and response","Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine","No"
"Democratic Republic of the Cong","Pandemic preparedness and response","Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?","No"
"Democratic Republic of the Cong","Pandemic preparedness and response","Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?","No"
"Democratic Republic of the Cong","Pandemic preparedness and response","Influenza specific","No response"
"Democratic Republic of the Cong","Pandemic preparedness and response","Year plan Last updated","No response"
"Democratic Republic of the Cong","Pandemic preparedness and response","Year simulation conducted","N/A"
"Democratic Republic of the Cong","Integration of Influenza surveillance and SARS-CoV-2","Does the country report SARS-CoV-2 results to the Flu Net?","Yes"
"Democratic Republic of the Cong","Integration of Influenza surveillance and SARS-CoV-2","Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?","Yes"
"Democratic Republic of the Cong","Zoonotic Influenza surveillance","Does the country perform surveillance activities at the human-animal interface?","Yes"
"Democratic Republic of the Cong","Zoonotic Influenza surveillance","Has the country held an IHR (International Health Regulations) Review?","Yes"
"Democratic Republic of the Cong","Zoonotic Influenza surveillance","Has the country performed joint risk assessment?","Yes"
"Democratic Republic of the Cong","Zoonotic Influenza surveillance","If yes, when","2024"
"Equatorial Guinea","Population and Economy","Life expectancy","61"
"Equatorial Guinea","Population and Economy","Population","1847549"
"Equatorial Guinea","Population and Economy","Total Health Expenditure","3.4"
"Equatorial Guinea","Mortality per 100 000 population","All cause/all ages","1259.4"
"Equatorial Guinea","Mortality per 1000 live births","All cause/under 5 years","73.4"
"Equatorial Guinea","Influenza like Illness (ILI) Surveillance","Is laboratory confirmation sought for ILI sentinel surveillance","N/A"
"Equatorial Guinea","Influenza like Illness (ILI) Surveillance","Numbers of ILI sentinel surveillance sites","N/A"
"Equatorial Guinea","Influenza like Illness (ILI) Surveillance","Surveillance case definition used for ILI case ascertainment.","N/A"
"Equatorial Guinea","Influenza like Illness (ILI) Surveillance","Type of ILI surveillance","No"
"Equatorial Guinea","Severe acute respiratory infection (SARI) surveillance","Is laboratory confirmation sought for SARI sentinel surveillance","N/A"
"Equatorial Guinea","Severe acute respiratory infection (SARI) surveillance","Is there timely all-cause mortality data available in the country?","Yes"
"Equatorial Guinea","Severe acute respiratory infection (SARI) surveillance","Number of SARI sentinel surveillance sites","N/A"
"Equatorial Guinea","Severe acute respiratory infection (SARI) surveillance","Sentinel sites involved in SARI surveillance.","N/A"
"Equatorial Guinea","Severe acute respiratory infection (SARI) surveillance","Surveillance case definition used for SARI case ascertainment.","N/A"
"Equatorial Guinea","Severe acute respiratory infection (SARI) surveillance","Type of SARI surveillance","No"
"Equatorial Guinea","Virological surveillance","Antiviral susceptibility testing capability","No"
"Equatorial Guinea","Virological surveillance","Does the country forward samples to a WHO CC?","No"
"Equatorial Guinea","Virological surveillance","Does the country have a designated National Influenza reference laboratory?","No"
"Equatorial Guinea","Virological surveillance","Does the country have a WHO recognized National Influenza Centre (NIC)?","No"
"Equatorial Guinea","Virological surveillance","Does the country have genomic sequencing capacity?","Yes"
"Equatorial Guinea","Virological surveillance","Does the country have RT-PCR capacity?","Yes"
"Equatorial Guinea","Virological surveillance","Does the country test for other respiratory viruses?","No"
"Equatorial Guinea","Virological surveillance","Does the laboratory participate in the External Quality Assurance Panel (EQAP)?","Yes"
"Equatorial Guinea","Virological surveillance","Does the National Influenza reference laboratory have:","No"
"Equatorial Guinea","Virological surveillance","RT-PCR","No"
"Equatorial Guinea","Virological surveillance","Sequencing capacity","No"
"Equatorial Guinea","Virological surveillance","Type of virological surveillance","No"
"Equatorial Guinea","Virological surveillance","Virus Isolation capacity","No"
"Equatorial Guinea","Data reporting & use","Are epidemiological and virological sentinel surveillance datasets integrated?","No"
"Equatorial Guinea","Data reporting & use","Does the country report to the FluID?","No"
"Equatorial Guinea","Data reporting & use","Does the country report to the FluNet?","No"
"Equatorial Guinea","Data reporting & use","Has the country performed a burden of disease analysis?","No"
"Equatorial Guinea","Data reporting & use","Was it published? If yes provide link","No"
"Equatorial Guinea","Data reporting & use","What year was it performed?","No"
"Equatorial Guinea","Vaccination","Does the country have a formal seasonal influenza vaccination policy?","No"
"Equatorial Guinea","Vaccination","Has seasonal influenza vaccine been introduced in the private sector?","No response"
"Equatorial Guinea","Vaccination","Has seasonal influenza vaccine been introduced in the public sector? Year introduced;","No response"
"Equatorial Guinea","Vaccination","What are the recommended risk groups for influenza vaccine?","No response"
"Equatorial Guinea","Vaccination","Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?","No response"
"Equatorial Guinea","Pandemic preparedness and response","All Hazardzs","No"
"Equatorial Guinea","Pandemic preparedness and response","COVID-19 specific","Yes 2022"
"Equatorial Guinea","Pandemic preparedness and response","Does the country have another pandemic preparedness plan available?","Yes"
"Equatorial Guinea","Pandemic preparedness and response","Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine","No"
"Equatorial Guinea","Pandemic preparedness and response","Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?","No"
"Equatorial Guinea","Pandemic preparedness and response","Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?","No"
"Equatorial Guinea","Pandemic preparedness and response","Influenza specific","No"
"Equatorial Guinea","Pandemic preparedness and response","Year plan Last updated","N/A"
"Equatorial Guinea","Pandemic preparedness and response","Year simulation conducted","No"
"Equatorial Guinea","Integration of Influenza surveillance and SARS-CoV-2","Does the country report SARS-CoV-2 results to the Flu Net?","No"
"Equatorial Guinea","Integration of Influenza surveillance and SARS-CoV-2","Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?","No"
"Equatorial Guinea","Zoonotic Influenza surveillance","Does the country perform surveillance activities at the human-animal interface?","No"
"Equatorial Guinea","Zoonotic Influenza surveillance","Has the country held an IHR (International Health Regulations) Review?","No"
"Equatorial Guinea","Zoonotic Influenza surveillance","Has the country performed joint risk assessment?","No"
"Equatorial Guinea","Zoonotic Influenza surveillance","If yes, when","No"
"Eritrea","Population and Economy","Life expectancy","67"
"Eritrea","Population and Economy","Population","3470390"
"Eritrea","Population and Economy","Total Health Expenditure","4.15"
"Eritrea","Mortality per 100 000 population","All cause/all ages","1341.9"
"Eritrea","Mortality per 1000 live births","All cause/under 5 years","36.6"
"Eritrea","Influenza like Illness (ILI) Surveillance","Is laboratory confirmation sought for ILI sentinel surveillance","No"
"Eritrea","Influenza like Illness (ILI) Surveillance","Numbers of ILI sentinel surveillance sites","N/A"
"Eritrea","Influenza like Illness (ILI) Surveillance","Surveillance case definition used for ILI case ascertainment.","IDSR 3rd Edition"
"Eritrea","Influenza like Illness (ILI) Surveillance","Type of ILI surveillance","IDSR"
"Eritrea","Severe acute respiratory infection (SARI) surveillance","Is laboratory confirmation sought for SARI sentinel surveillance","No"
"Eritrea","Severe acute respiratory infection (SARI) surveillance","Number of SARI sentinel surveillance sites","No"
"Eritrea","Severe acute respiratory infection (SARI) surveillance","Sentinel sites involved in SARI surveillance.","No"
"Eritrea","Severe acute respiratory infection (SARI) surveillance","Surveillance case definition used for SARI case ascertainment.","No"
"Eritrea","Severe acute respiratory infection (SARI) surveillance","Type of SARI surveillance","No"
"Eritrea","Virological surveillance","Antiviral susceptibility testing capability","No"
"Eritrea","Virological surveillance","Average number of virological samples processed per week (2024)","No"
"Eritrea","Virological surveillance","Does the country forward samples to a WHO CC?","No"
"Eritrea","Virological surveillance","Does the country have a designated National Influenza reference laboratory?","No"
"Eritrea","Virological surveillance","Does the country have a WHO recognized National Influenza Centre (NIC)?","No"
"Eritrea","Virological surveillance","Does the country have genomic sequencing capacity?","No"
"Eritrea","Virological surveillance","Does the country have RT-PCR capacity?","Yes"
"Eritrea","Virological surveillance","Does the country test for other respiratory viruses?","No"
"Eritrea","Virological surveillance","Does the laboratory participate in the External Quality Assurance Panel (EQAP)?","No response"
"Eritrea","Virological surveillance","Does the National Influenza reference laboratory have:","No"
"Eritrea","Virological surveillance","RT-PCR","No"
"Eritrea","Virological surveillance","Sequencing capacity","No"
"Eritrea","Virological surveillance","Type of virological surveillance","No"
"Eritrea","Virological surveillance","Virus Isolation capacity","No"
"Eritrea","Data reporting & use","Are epidemiological and virological sentinel surveillance datasets integrated?","No"
"Eritrea","Data reporting & use","Does the country report to the FluID?","No"
"Eritrea","Data reporting & use","Does the country report to the FluNet?","No"
"Eritrea","Data reporting & use","Does the country use the PISA tool to assess the severity of seasonal influenza?","No"
"Eritrea","Data reporting & use","Has the country performed a burden of disease analysis?","No"
"Eritrea","Data reporting & use","Was it published? If yes provide link","No"
"Eritrea","Data reporting & use","What was the estimated burden?","No"
"Eritrea","Data reporting & use","What year was it performed?","No"
"Eritrea","Vaccination","Does the country have a formal seasonal influenza vaccination policy?","No"
"Eritrea","Vaccination","Has seasonal influenza vaccine been introduced in the private sector?","No response"
"Eritrea","Vaccination","Has seasonal influenza vaccine been introduced in the public sector? Year introduced;","No response"
"Eritrea","Vaccination","What are the recommended risk groups for influenza vaccine?","No response"
"Eritrea","Vaccination","Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?","No response"
"Eritrea","Pandemic preparedness and response","All Hazardzs","No response"
"Eritrea","Pandemic preparedness and response","COVID-19 specific","No response"
"Eritrea","Pandemic preparedness and response","Does the country have another pandemic preparedness plan available?","No response"
"Eritrea","Pandemic preparedness and response","Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine","No"
"Eritrea","Pandemic preparedness and response","Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?","No"
"Eritrea","Pandemic preparedness and response","Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?","No"
"Eritrea","Pandemic preparedness and response","Influenza specific","No response"
"Eritrea","Pandemic preparedness and response","Year plan Last updated","N/A"
"Eritrea","Pandemic preparedness and response","Year simulation conducted","No"
"Eritrea","Integration of Influenza surveillance and SARS-CoV-2","Does the country report SARS-CoV-2 results to the Flu Net?","No"
"Eritrea","Integration of Influenza surveillance and SARS-CoV-2","Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?","No"
"Eritrea","Zoonotic Influenza surveillance","Does the country perform surveillance activities at the human-animal interface?","No"
"Eritrea","Zoonotic Influenza surveillance","Has the country held an IHR (International Health Regulations) Review?","No"
"Eritrea","Zoonotic Influenza surveillance","Has the country performed joint risk assessment?","No"
"Eritrea","Zoonotic Influenza surveillance","If yes, when","No"
"Eswatini","Population and Economy","Life expectancy","56"
"Eswatini","Population and Economy","Population","1230506"
"Eswatini","Population and Economy","Total Health Expenditure","7.04"
"Eswatini","Mortality per 100 000 population","All cause/all ages","1981.2"
"Eswatini","Mortality per 1000 live births","All cause/under 5 years","50"
"Eswatini","Influenza like Illness (ILI) Surveillance","Is laboratory confirmation sought for ILI sentinel surveillance","No"
"Eswatini","Influenza like Illness (ILI) Surveillance","Numbers of ILI sentinel surveillance sites","No"
